timestamp,tweet_text,Location
2022-01-29 19:25:23+00:00,( tablets) is used for the treatment of acute and chronic,Singapore
2022-02-27 22:42:06+00:00,schizophrenia is no joke.,Singapore
2022-02-24 08:31:07+00:00,not my aunt reducing rikys pain and death to ungabinathixo. lmao like they havent witnessed their eldest sister (my mother) suffer from major depression and schizophrenia right in front of their eyes and shes the holiest of them all.,Queenstown | Port Elizabeth 
2022-02-22 06:27:53+00:00,"reassessment of amphetamine- and phencyclidine-induced locomotor hyperactivity as a model of psychosis-like behavior in rats, paper from dr. snezana kusljic",Singapore
2022-02-22 00:55:19+00:00,abortion only adds to injury. my mother also develop schizophrenia because of what happened to her. that caused my reading disorder. you dont kill a fetus because life is hard,"The Woodlands, TX"
2022-02-18 03:16:24+00:00,woman with schizophrenia talks to hersel,Singapore
2022-03-30 04:25:00+00:00,hey. if i upload my brain into a robot would i still have schizophrenia,Ever Changing
2022-03-25 03:46:20+00:00,ssssshhhhh. its ok. time to take your schizophrenia pill,Singapore
2022-03-22 21:29:33+00:00,"one husband, two men: loving someone with schizophrenia",Singapore
2022-03-22 18:21:00+00:00,me when i dont take my schizophrenia pill,Singapore
